,ts_local_iso,dt_local,regime,side,qty,entry_price,exit_price,pnl,pnl_pct,risk_usdt,pnl_r,reason
116,2025-12-18T17:19:59-03:00,2025-12-18T20:19:59.000Z,TREND,SHORT,0.1692620176032498,118.16,117.98,0.0304671631685837,0.00003046716316858372,0.0782001080758732,0.3896051286658468,DELTA_FLIP_LONG
118,2025-12-18T17:20:59-03:00,2025-12-18T20:20:59.000Z,TREND,LONG,0.1695202576707916,117.98,118.12,0.0237328360739109,0.000023732836073910925,0.0760800466946779,0.3119456034136623,DELTA_FLIP_SHORT
120,2025-12-18T17:22:59-03:00,2025-12-18T20:22:59.000Z,TREND,SHORT,0.1693193362682018,118.12,117.96,0.0270910938029141,0.00002709109380291412,0.0767300873309783,0.35307002435766277,DELTA_FLIP_LONG
122,2025-12-18T17:25:59-03:00,2025-12-18T20:25:59.000Z,TREND,LONG,0.169548999660902,117.96,118.12,0.0271278399457461,0.00002712783994574615,0.0739833758817186,0.36667480528486435,DELTA_FLIP_SHORT
124,2025-12-18T17:34:59-03:00,2025-12-18T20:34:59.000Z,TREND,SHORT,0.1693193362682018,118.12,117.75,0.0626481544192354,0.00006264815441923544,0.0674204193095851,0.9292163273497879,TRAIL_SL_SHORT
126,2025-12-18T18:03:59-03:00,2025-12-18T21:03:59.000Z,TREND,SHORT,0.1698658060132495,117.74,117.9,-0.0271785289621217,-0.00002717852896212176,0.0823349452458599,-0.33009712802946617,DELTA_FLIP_LONG
128,2025-12-18T18:06:59-03:00,2025-12-18T21:06:59.000Z,TREND,LONG,0.1696352841391009,117.9,117.6,-0.0508905852417322,-0.00005089058524173221,0.0846800107560904,-0.6009751863201319,DELTA_FLIP_SHORT
130,2025-12-18T18:15:59-03:00,2025-12-18T21:15:59.000Z,TREND,SHORT,0.1700680272108843,117.6,118.04,-0.0748299319727911,-0.00007482993197279115,0.0790012156086701,-0.9471997537792163,TRAIL_SL_SHORT
132,2025-12-18T18:25:59-03:00,2025-12-18T21:25:59.000Z,TREND,SHORT,0.1697792869269949,117.8,118.02,-0.0373514431239386,-0.00003735144312393868,0.064894897589695,-0.5755682574629694,DELTA_FLIP_LONG
134,2025-12-18T18:26:59-03:00,2025-12-18T21:26:59.000Z,TREND,LONG,0.0847314014573801,118.02,118.03,0.0008473140145742,8.473140145742346e-7,0.0295809838800744,0.02864387533590275,DELTA_FLIP_SHORT
136,2025-12-18T18:29:59-03:00,2025-12-18T21:29:59.000Z,TREND,SHORT,0.0847242226552571,118.03,118.7,-0.0567652291790224,-0.00005676522917902243,0.0281919368730973,-2.0135271100579017,TRAIL_SL_SHORT
138,2025-12-18T20:33:59-03:00,2025-12-18T23:33:59.000Z,TREND,LONG,0.1670983373715431,119.69,119.54,-0.02506475060573,-0.00002506475060573005,0.0337044169845955,-0.7436636752146096,TRAIL_SL_LONG
140,2025-12-18T20:45:59-03:00,2025-12-18T23:45:59.000Z,TREND,SHORT,0.1671122994652406,119.68,119.32,0.0601604278074889,0.00006016042780748891,0.0304200466156119,1.9776573181388193,DELTA_FLIP_LONG
142,2025-12-18T20:56:59-03:00,2025-12-18T23:56:59.000Z,TREND,LONG,0.1676164934629567,119.32,119.6,0.046932618169628,0.000046932618169628086,0.0290195565310069,1.617275512790187,DELTA_FLIP_SHORT
